id,title,year,rating,votes
#146,No Country for Old Men,2007,8.2,1200000
#147,The Thing,1982,8.2,515000
#148,Top Gun: Maverick,2022,8.2,815000
#149,Pan's Labyrinth,2006,8.2,738000
#150,Unforgiven,1992,8.2,462000
#151,Prisoners,2013,8.2,905000
#152,Kill Bill: Vol. 1,2003,8.2,1300000
#153,A Beautiful Mind,2001,8.2,1000000
#154,The Treasure of the Sierra Madre,1948,8.2,140000
#155,Howl's Moving Castle,2004,8.2,499000
#156,Finding Nemo,2003,8.2,1200000
#157,Yojimbo,1961,8.2,141000
#158,The Great Escape,1963,8.2,274000
#159,Monty Python and the Holy Grail,1975,8.2,597000
#160,The Best of Youth,2003,8.4,27000
#161,The Elephant Man,1980,8.2,278000
#162,Klaus,2019,8.2,223000
#163,Dial M for Murder,1954,8.2,202000
#164,Gone with the Wind,1939,8.2,352000
#165,The Secret in Their Eyes,2009,8.2,238000
#166,Chinatown,1974,8.1,372000
#167,"Lock, Stock and Two Smoking Barrels",1998,8.1,644000
#168,Demon Slayer: Kimetsu no Yaiba- The Movie - Infinity Castle,2025,8.5,53000
#169,V for Vendetta,2005,8.1,1200000
#170,Rashomon,1950,8.1,194000
#171,Inside Out,2015,8.1,892000
#172,Catch Me If You Can,2002,8.1,1200000
#173,"Three Billboards Outside Ebbing, Missouri",2017,8.1,596000
#174,Trainspotting,1996,8.1,761000
#175,The Bridge on the River Kwai,1957,8.1,246000
#176,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,1000000
#177,Raging Bull,1980,8.1,404000
#178,Fargo,1996,8.1,770000
#179,Warrior,2011,8.1,523000
#180,The Wild Robot,2024,8.2,205000
#181,Dead Poets Society,1989,8.1,623000
#182,Barry Lyndon,1975,8.1,200000
#183,Ben-Hur,1959,8.1,268000
#184,Million Dollar Baby,2004,8.1,757000
#185,Mad Max: Fury Road,2015,8.1,1200000
#186,Gran Torino,2008,8.1,852000
#187,My Neighbor Totoro,1988,8.1,421000
#188,Children of Heaven,1997,8.2,88000
#189,Hacksaw Ridge,2016,8.1,661000
#190,The Grand Budapest Hotel,2014,8.1,948000
#191,12 Years a Slave,2013,8.1,776000
#192,Before Sunrise,1995,8.1,369000
#193,Blade Runner,1982,8.1,869000
#194,Memories of Murder,2003,8.1,256000
#195,Spider-Man: No Way Home,2021,8.2,988000
#196,Ratatouille,2007,8.1,917000
#197,How to Train Your Dragon,2010,8.1,874000
#198,Gone Girl,2014,8.1,1100000
#199,"Monsters, Inc.",2001,8.1,1100000
#200,Jaws,1975,8.1,723000
#201,In the Name of the Father,1993,8.1,200000
#202,Ford v Ferrari,2019,8.1,550000
#203,Wild Tales,2014,8.1,234000
#204,The Gold Rush,1925,8.1,127000
#205,Sherlock Jr.,1924,8.1,64000
#206,Mary and Max,2009,8.1,200000
#207,The Deer Hunter,1978,8.1,382000
#208,The Wages of Fear,1953,8.1,72000
#209,The General,1926,8.1,105000
#210,Mr. Smith Goes to Washington,1939,8.1,128000
#211,Logan,2017,8.1,910000
#212,On the Waterfront,1954,8.1,176000
#213,Rocky,1976,8.1,676000
#214,Tokyo Story,1953,8.1,76000
#215,Wild Strawberries,1957,8.1,123000
#216,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,1300000
#217,The Third Man,1949,8.1,193000
#218,Spotlight,2015,8.1,528000
#219,Maharaja,2024,8.3,77000
#220,Jai Bhim,2021,8.6,231000
#221,La haine,1995,8.1,220000
#222,The Terminator,1984,8.1,986000
#223,The Big Lebowski,1998,8.1,905000
#224,The Sound of Music,1965,8.1,285000
#225,The Seventh Seal,1957,8.1,213000
#226,Room,2015,8.1,475000
#227,The Best Years of Our Lives,1946,8.1,76000
#228,A Silent Voice: The Movie,2016,8.2,132000
#229,Hotel Rwanda,2004,8.1,388000
#230,Platoon,1986,8.1,465000
#231,Before Sunset,2004,8.1,309000
#232,The Incredibles,2004,8.0,881000
#233,The Exorcist,1973,8.1,491000
#234,Hachi: A Dog's Tale,2009,8.1,336000
#235,Rush,2013,8.1,549000
#236,The Wizard of Oz,1939,8.1,460000
#237,The Passion of Joan of Arc,1928,8.1,67000
#238,Stand by Me,1986,8.1,476000
#239,The Iron Giant,1999,8.1,253000
#240,My Father and My Son,2005,8.2,99000
